2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:01:10.235 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,52}
2014-06-05 21:01:11.853 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"_4^4\\4"}
2014-06-05 21:01:11.853 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,52}
2014-06-05 21:01:12.062 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,94,52}
2014-06-05 21:01:12.262 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,92,52}
2014-06-05 21:01:13.881 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"\\4]4^4_4`4a4b4c4"}
2014-06-05 21:01:13.881 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,92,52}
2014-06-05 21:01:14.084 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,93,52}
2014-06-05 21:01:14.295 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,94,52}
2014-06-05 21:01:14.495 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,52}
2014-06-05 21:01:14.693 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,52}
2014-06-05 21:01:14.695 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:14.695 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:01:14.695 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,96,52,0},[{97,52},{98,52},{99,52}],0,0,0,[],0,0}
2014-06-05 21:01:14.895 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,52}
2014-06-05 21:01:15.110 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,51}
2014-06-05 21:01:15.307 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,50}
2014-06-05 21:01:15.514 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,49}
2014-06-05 21:01:15.716 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,96,48}
2014-06-05 21:01:15.909 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"a/a.a-"}
2014-06-05 21:01:15.909 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,47}
2014-06-05 21:01:15.909 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,46}
2014-06-05 21:01:15.910 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:15.910 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:01:15.910 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,97,46,0},[{97,45}],0,0,0,[],0,0}
2014-06-05 21:01:16.113 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,45}
2014-06-05 21:01:17.937 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"a-a.a/a0a1a2a3a4"}
2014-06-05 21:01:17.937 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,45}
2014-06-05 21:01:18.141 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,46}
2014-06-05 21:01:18.353 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,47}
2014-06-05 21:01:18.545 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,48}
2014-06-05 21:01:18.546 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:18.546 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
